"Overlay","Filename","Overlay_Gate","Gate","Total_Events","percent_gated_cells","percent_all_cells"
1,"Cruise_NorthSea_PE477_Algae_PE477_7_15m.fcs compensated","Gate 2","Gate 16",36,0.02,0.01
1,"Cruise_NorthSea_PE477_Algae_PE477_7_30m.fcs compensated","Gate 2","Gate 16",16,0.01,0.01
1,"Cruise_NorthSea_PE486_Algae_PE486_1_7m.fcs compensated","Gate 2","Gate 16",298,5.29,2.72
1,"Cruise_NorthSea_PE486_Algae_PE486_1_15m.fcs compensated","Gate 2","Gate 16",391,5.79,2.96
1,"Cruise_NorthSea_PE486_Algae_PE486_1_30m.fcs compensated","Gate 2","Gate 16",361,5.34,2.98
1,"Cruise_NorthSea_PE486_Algae_PE486_2_7m.fcs compensated","Gate 2","Gate 16",305,9.25,2.78
1,"Cruise_NorthSea_PE486_Algae_PE486_2_7m_SSC425.fcs compensated","Gate 2","Gate 16",312,9.44,2.87
1,"Cruise_NorthSea_PE486_Algae_PE486_2_15m.fcs compensated","Gate 2","Gate 16",263,7.57,2.65
1,"Cruise_NorthSea_PE486_Algae_PE486_2_30m.fcs compensated","Gate 2","Gate 16",65,2.42,1.05
1,"Cruise_NorthSea_PE486_Algae_PE486_3_7m.fcs compensated","Gate 2","Gate 16",15,0.22,0.17
1,"Cruise_NorthSea_PE486_Algae_PE486_3_15m.fcs compensated","Gate 2","Gate 16",17,0.18,0.15
1,"Cruise_NorthSea_PE486_Algae_PE486_4_7m.fcs compensated","Gate 2","Gate 16",209,6,1.35
1,"Cruise_NorthSea_PE486_Algae_PE486_4_15m.fcs compensated","Gate 2","Gate 16",201,5.96,1.24
1,"Cruise_NorthSea_PE486_Algae_PE486_4_30m.fcs compensated","Gate 2","Gate 16",21,0.94,0.3
1,"Cruise_NorthSea_PE486_Algae_PE486_4_xm_Run3.fcs compensated","Gate 2","Gate 16",209,5.88,1.32
1,"Cruise_NorthSea_PE486_Algae_PE486_4_ym.fcs compensated","Gate 2","Gate 16",15,0.64,0.21
1,"Cruise_NorthSea_PE486_Algae_PE486_4_zm.fcs compensated","Gate 2","Gate 16",147,4.4,0.96
