"Overlay","Filename","Overlay_Gate","Gate","Total_Events","percent_gated_cells","percent_all_cells","Location","Station_Number","Depth","Location_Station","Acquisition_Duration","Flow_Rate","cells_per_mL"
1,"Cruise_NorthSea_PE486_Algae_PE486_6_7m.fcs compensated","2","15",47,2.5,0.44,"PE486",6,7,"PE486_6",10,107,43.9252336448598
1,"Cruise_NorthSea_PE486_Algae_PE486_6_7m.fcs compensated","2","15",47,2.5,0.44,"PE486",6,7,"PE486_6",10,107,43.9252336448598
1,"Cruise_NorthSea_PE486_Algae_PE486_6_7m.fcs compensated","2","15",47,2.5,0.44,"PE486",6,7,"PE486_6",10,107,43.9252336448598
1,"Cruise_NorthSea_PE486_Algae_PE486_6_15m.fcs compensated","2","15",32,1.91,0.5,"PE486",6,15,"PE486_6",10,107,29.9065420560748
1,"Cruise_NorthSea_PE486_Algae_PE486_7_7m.fcs compensated","2","15",38,1.48,0.25,"PE486",7,7,"PE486_7",10,107,35.5140186915888
1,"Cruise_NorthSea_PE486_Algae_PE486_7_15m.fcs compensated","2","15",26,0.41,0.17,"PE486",7,15,"PE486_7",10,107,24.2990654205607
1,"Cruise_NorthSea_PE486_Algae_PE486_7_30m.fcs compensated","2","15",23,0.22,0.13,"PE486",7,30,"PE486_7",10,107,21.4953271028037
1,"Cruise_NorthSea_PE486_Algae_PE486_8_7m.fcs compensated","2","15",158,2.97,0.76,"PE486",8,7,"PE486_8",10,107,147.663551401869
1,"Cruise_NorthSea_PE486_Algae_PE486_8_15m.fcs compensated","2","15",148,3.12,0.84,"PE486",8,15,"PE486_8",10,107,138.317757009346
1,"Cruise_NorthSea_PE486_Algae_PE486_8_30m.fcs compensated","2","15",110,2.9,1.34,"PE486",8,30,"PE486_8",10,107,102.803738317757
1,"Cruise_NorthSea_PE477_Algae_PE477_1_7m.fcs compensated","2","16",12,0.03,0.02,"PE477",1,7,"PE477_1",10,129,9.30232558139535
1,"Cruise_NorthSea_PE477_Algae_PE477_2_7m.fcs compensated","2","16",36,0.09,0.08,"PE477",2,7,"PE477_2",10,129,27.906976744186
1,"Cruise_NorthSea_PE477_Algae_PE477_2_15m.fcs compensated","2","16",34,0.08,0.07,"PE477",2,15,"PE477_2",10,129,26.3565891472868
1,"Cruise_NorthSea_PE477_Algae_PE477_2_30m.fcs compensated","2","16",37,0.09,0.07,"PE477",2,30,"PE477_2",10,129,28.6821705426357
1,"Cruise_NorthSea_PE477_Algae_PE477_3_7m.fcs compensated","2","16",32,0.15,0.09,"PE477",3,7,"PE477_3",10,129,24.8062015503876
1,"Cruise_NorthSea_PE477_Algae_PE477_3_15m.fcs compensated","2","16",32,0.17,0.1,"PE477",3,15,"PE477_3",10,129,24.8062015503876
1,"Cruise_NorthSea_PE477_Algae_PE477_3_30m.fcs compensated","2","16",9,0.09,0.05,"PE477",3,30,"PE477_3",9,129,7.75193798449612
1,"Cruise_NorthSea_PE477_Algae_PE477_4_7m.fcs compensated","2","16",44,0.47,0.24,"PE477",4,7,"PE477_4",10,129,34.1085271317829
1,"Cruise_NorthSea_PE477_Algae_PE477_4_15m.fcs compensated","2","16",19,0.12,0.1,"PE477",4,15,"PE477_4",10,129,14.7286821705426
1,"Cruise_NorthSea_PE477_Algae_PE477_4_30m.fcs compensated","2","16",14,0.12,0.1,"PE477",4,30,"PE477_4",10,129,10.8527131782946
1,"Cruise_NorthSea_PE477_Algae_PE477_5_7m.fcs compensated","2","16",115,0.1,0.07,"PE477",5,7,"PE477_5",10,129,89.1472868217054
1,"Cruise_NorthSea_PE477_Algae_PE477_5_15m.fcs compensated","2","16",128,0.11,0.08,"PE477",5,15,"PE477_5",10,129,99.2248062015504
1,"Cruise_NorthSea_PE477_Algae_PE477_5_30m.fcs compensated","2","16",24,0.06,0.05,"PE477",5,30,"PE477_5",10,129,18.6046511627907
1,"Cruise_NorthSea_PE477_Algae_PE477_6_7m.fcs compensated","2","16",16,0.02,0.01,"PE477",6,7,"PE477_6",10,129,12.4031007751938
1,"Cruise_NorthSea_PE477_Algae_PE477_6_15m.fcs compensated","2","16",17,0.02,0.01,"PE477",6,15,"PE477_6",10,129,13.1782945736434
1,"Cruise_NorthSea_PE477_Algae_PE477_6_30m.fcs compensated","2","16",10,0.03,0.03,"PE477",6,30,"PE477_6",10,129,7.75193798449612
1,"Cruise_NorthSea_PE477_Algae_PE477_7_7m_Bottle3.fcs compensated","2","16",35,0.01,0.01,"PE477",7,7,"PE477_7",10,129,27.1317829457364
1,"Cruise_NorthSea_PE477_Algae_PE477_7_7m_Bottle3.fcs compensated","2","16",35,0.01,0.01,"PE477",7,7,"PE477_7",10,129,27.1317829457364
1,"Cruise_NorthSea_PE477_Algae_PE477_7_15m.fcs compensated","2","16",36,0.02,0.01,"PE477",7,15,"PE477_7",10,129,27.906976744186
1,"Cruise_NorthSea_PE477_Algae_PE477_7_30m.fcs compensated","2","16",16,0.01,0.01,"PE477",7,30,"PE477_7",10,129,12.4031007751938
1,"Cruise_NorthSea_PE486_Algae_PE486_1_7m.fcs compensated","2","16",298,5.29,2.72,"PE486",1,7,"PE486_1",10,107,278.504672897196
1,"Cruise_NorthSea_PE486_Algae_PE486_1_15m.fcs compensated","2","16",391,5.79,2.96,"PE486",1,15,"PE486_1",10,107,365.420560747664
1,"Cruise_NorthSea_PE486_Algae_PE486_1_30m.fcs compensated","2","16",361,5.34,2.98,"PE486",1,30,"PE486_1",10,107,337.383177570093
1,"Cruise_NorthSea_PE486_Algae_PE486_2_7m.fcs compensated","2","16",305,9.25,2.78,"PE486",2,7,"PE486_2",10,107,285.046728971963
1,"Cruise_NorthSea_PE486_Algae_PE486_2_7m.fcs compensated","2","16",305,9.25,2.78,"PE486",2,7,"PE486_2",10,107,285.046728971963
1,"Cruise_NorthSea_PE486_Algae_PE486_2_15m.fcs compensated","2","16",263,7.57,2.65,"PE486",2,15,"PE486_2",10,107,245.794392523364
1,"Cruise_NorthSea_PE486_Algae_PE486_2_30m.fcs compensated","2","16",65,2.42,1.05,"PE486",2,30,"PE486_2",10,107,60.7476635514019
1,"Cruise_NorthSea_PE486_Algae_PE486_3_7m.fcs compensated","2","16",15,0.22,0.17,"PE486",3,7,"PE486_3",10,107,14.018691588785
1,"Cruise_NorthSea_PE486_Algae_PE486_3_15m.fcs compensated","2","16",17,0.18,0.15,"PE486",3,15,"PE486_3",10,107,15.8878504672897
1,"Cruise_NorthSea_PE486_Algae_PE486_4_7m.fcs compensated","2","16",209,6,1.35,"PE486",4,7,"PE486_4",10,107,195.327102803738
1,"Cruise_NorthSea_PE486_Algae_PE486_4_15m.fcs compensated","2","16",201,5.96,1.24,"PE486",4,15,"PE486_4",10,107,187.85046728972
1,"Cruise_NorthSea_PE486_Algae_PE486_4_30m.fcs compensated","2","16",21,0.94,0.3,"PE486",4,30,"PE486_4",10,107,19.6261682242991
1,"Cruise_NorthSea_PE486_Algae_PE486_5_7m.fcs compensated","2","16",82,2.29,1.1,"PE486",5,7,"PE486_5",10,107,76.6355140186916
1,"Cruise_NorthSea_PE486_Algae_PE486_5_15m.fcs compensated","2","16",74,2.08,1,"PE486",5,15,"PE486_5",10,107,69.1588785046729
1,"Cruise_NorthSea_PE486_Algae_PE486_6_7m.fcs compensated","2","16",8,0.43,0.08,"PE486",6,7,"PE486_6",10,107,7.47663551401869
1,"Cruise_NorthSea_PE486_Algae_PE486_6_7m.fcs compensated","2","16",8,0.43,0.08,"PE486",6,7,"PE486_6",10,107,7.47663551401869
